url	status	command_count	html_sha256
https://atlcli.sh/	ok	3	7e860e02925879b0330353ff4208ce2f40f8182ec8dcf9e2720fd3c7acd7dcb5
https://atlcli.sh/authentication/	ok	28	0778baf22ca543ba04e328b34d6167e4ae35d2af21bb5a6e89cde5a8eabf6f52
https://atlcli.sh/configuration/	ok	0	a347181540c46c7993cf518860da7e9e29faf3b0ee742aa2c8308673c27a54ab
https://atlcli.sh/confluence/	ok	7	06d3a7d383596c4c03e53e7b067feaf2d144a8b6bbfb8d904616ce33ec41c511
https://atlcli.sh/confluence/attachments/	ok	4	d623af304093158e6a9492c4f1f8defb30214f613178b4949afc63b2e974ec5e
https://atlcli.sh/confluence/audit/	ok	31	fe5dc655623d4c83e205c59b260b70b1eb5cf414907337252856528e6de7ce43
https://atlcli.sh/confluence/comments/	ok	17	406e3674ee6c2d2aee7c8e91f5b54d10932e558350b3590283c4f7fb3afa824e
https://atlcli.sh/confluence/export/	ok	12	4f5e869b74d2b1eae54f1931623d0f094897f33b602d7809249bbe9bba2f8a8d
https://atlcli.sh/confluence/file-format/	ok	0	7cd59e31c6d3618fcbc61a7813141cbecf0e220276b2fe8174c00121081aa3f0
https://atlcli.sh/confluence/folders/	ok	7	46376e09552ac3765734e471a45ed7247524acaefa215d13baaef46ee8a18321
https://atlcli.sh/confluence/history/	ok	14	a648378efa607886af719e28302986a79a0e82bd0658d0402f4eb88985550e0c
https://atlcli.sh/confluence/ignore/	ok	8	5cb2ef808b09f59a0da010ad11d9ecfe64dea2a265c53038da46b23638bf57ff
https://atlcli.sh/confluence/labels/	ok	21	1bde6a1ec564da45b39f1363ad765f9d970f15fdf7a984f12b72ff13cbad59a5
https://atlcli.sh/confluence/macros/	ok	2	b84ccc76f55b8869a5ffdae801ef4c128f3909b97ebb5723ff990ab08f79e057
https://atlcli.sh/confluence/pages/	ok	42	09ec62ed6bb135123d39a3311cea3aa6dd69305fdcec8339461e1d4e64d2ab0b
https://atlcli.sh/confluence/search/	ok	37	36c8ef680f9faf9224fdaacb08000025b16f13024149ff468e0a5a568ab1f482
https://atlcli.sh/confluence/spaces/	ok	6	3939e450b611f0a126e3f812c0f4b9b0290a9cf0681da6acd9403a47d831f24e
https://atlcli.sh/confluence/storage/	ok	2	ea4bbcc7334aaa3f2d1375dee7fcf34d62154a57864469a7d5d8f889442656ce
https://atlcli.sh/confluence/sync/	ok	45	d278119c614d4ca59874e933131a94ccf97cd4eac63d53c54a0ae27429e31b97
https://atlcli.sh/confluence/templates/	ok	55	7bb5484b833f2dee6c8d4e9d0bc3a4e845048c11bc9df12a16f3f72dd4573906
https://atlcli.sh/confluence/validation/	ok	7	0418665cef78e064181be51207161cd223ddb457e1b19eca95976d9f368b12e5
https://atlcli.sh/confluence/webhooks/	ok	11	44ffe1ed754c53b161cd4afdf2a5fa63c5c1138569fcc3039e0dbe40e45cc140
https://atlcli.sh/contributing/	ok	1	9a5c756ee199b71a2faf774f91c7adce265cd14bdd2e26cb88141c5b6ee53a19
https://atlcli.sh/getting-started/	ok	17	49f19b3cbdef5fd58343d774d8260b876f9b72bd2e6ec418711a685a2a8966a3
https://atlcli.sh/jira/	ok	11	b41b2eaedbf3d3663f73d1842bdd11dc2129f9b2adb97886b223a5cf274842a7
https://atlcli.sh/jira/analytics/	ok	8	3362a2300498a8bdfe3580bdadca30ef6950c382a9413c2ea9e40154335ad78f
https://atlcli.sh/jira/attachments/	ok	15	f86336baca58e6ae5f1e77d33204d903eafe922a44d89085ffb51285f8b4a329
https://atlcli.sh/jira/boards-sprints/	ok	21	8b1cab2ea05204f2191cf6a5570aa883c4eb8a694a6d40ff6876c49984fcb304
https://atlcli.sh/jira/bulk-operations/	ok	19	f494fe0a66d675bc51bd4a32f647379362426f41c5f5d654a8fb4eb537c49f45
https://atlcli.sh/jira/epics/	ok	11	d06a689bf54eb4428333b944c11c20ae947b32d1915480d9f067fa242c237410
https://atlcli.sh/jira/fields/	ok	12	67f5941e0a92377e59302602cd825915ab661cfa1edfde60eceee9e6aaa1cc98
https://atlcli.sh/jira/filters/	ok	10	e0881ef9ee85e3b8f906dcf2cce3c24b0edc48ef8ceb3925ffe5089ece3c965c
https://atlcli.sh/jira/import-export/	ok	6	8c58fada6530bbee2f83e52c70dbdd8ded291de3ecba16ddb8571d4fd94369d1
https://atlcli.sh/jira/issues/	ok	32	9b3f1398bb503440dff5a5e43580f0fd0bb76ec5d59e5de7c6baee783beea1a3
https://atlcli.sh/jira/projects/	ok	21	0472d0d68adcc034e5c94bf925df8cace43e2a1ec17ead71afaa5f24614844fe
https://atlcli.sh/jira/search/	ok	18	a8efc4402b1437969077a55280dbe66a75d91b30713bab7054836f68b9dec0e2
https://atlcli.sh/jira/subtasks/	ok	13	2c25443a333e586854ad731c5a56ab500838d7876004923ec1b790927a2bf4ce
https://atlcli.sh/jira/templates/	ok	11	3de13cc444e848486e31318f0da8a9b28294d88189e22dc7257c8c6396f532c2
https://atlcli.sh/jira/time-tracking/	ok	30	3132000adab91e009f0d19d4bafbc56d4cfe471e10acfddad6d3ddcd1d324fa5
https://atlcli.sh/jira/webhooks/	ok	3	1bff99babfe6086794a3d5f2a334ca83bde70013f13b5afc267e3dfd2038ca9e
https://atlcli.sh/plugins/	ok	3	a0691aedb505099957df4df061189c16734a7cd9a6bf55fcd3fc6305b236ad10
https://atlcli.sh/plugins/creating-plugins/	ok	4	a5dddeb7f07fc04fd8328dd34a7efbc6aa3897555079b5de656f3040bc76c54d
https://atlcli.sh/plugins/plugin-git/	ok	6	04f7b69ca3e30a19bb7929c3a3a5c0d68029b65a990a4b752fb1e826b73c89ed
https://atlcli.sh/plugins/using-plugins/	ok	8	317f40a2ef90c9dcc1a78a15be0242c27e3d7fced36b7cbd2c58c961d269f49e
https://atlcli.sh/recipes/	ok	8	bf838cb6755a5723e2e200c394432298ca0b46dc93b88c9cf4c1f843e1c3823d
https://atlcli.sh/recipes/ci-cd-docs/	ok	0	811fda017c0c2b2e18d1032eb1422f35db8bfd70c6a269514bdcd4d4df3d182f
https://atlcli.sh/recipes/issue-triage/	ok	12	0b14850f3d1914a1fd7f73ac21fd5754d688f42e5896049e402516d1ee715946
https://atlcli.sh/recipes/sprint-reporting/	ok	5	6e60ff87658a12668370a441c61293249754cac8bcf0b6ed4113a32cbb54f4fe
https://atlcli.sh/recipes/team-docs/	ok	8	140795b95671a6c8a49f0b7236fe02bc27641348103478d67dc5d3381e3be9c4
https://atlcli.sh/reference/cli-commands/	ok	365	bc92562ed5529b01a2f55daabc9740ad91489015e109b3dcb8f5ef61f300b8cb
https://atlcli.sh/reference/doctor/	ok	6	b244644eaaa7fc070d3dd52290a6421c2e588443d4884d6d25454d09cccf7f7f
https://atlcli.sh/reference/environment/	ok	1	b4874c901c2b624f8af3064a1efa5ea3853467c51504291ac64bec6d4835f6ec
https://atlcli.sh/reference/logging/	ok	30	6169500136b43754b13b42769bd2625ecb7d6b946774f3e358a4ee425d05d955
https://atlcli.sh/reference/shell-completions/	ok	10	dbc35de433d5fc16b571513d1a6eb049e6e353a77b2ef9b2ab7a123bd767fe80
https://atlcli.sh/reference/troubleshooting/	ok	7	ba053449f1878050db39905f0e6427de65e836c4e49aa3798bd8745f0e5f7034
https://atlcli.sh/reference/updating/	ok	5	a1783cb7cc1e6dc0642df53ebe534110ac68ae918f31ed1226d551ad06076742
